,name,core score
0,Brooks Glycerin Stealthfit 20,85
1,Adidas 4DFWD 2,78
2,Salomon Speedcross 6,75
3,The North Face Vectiv Eminus,83
4,Vivobarefoot Geo Racer Knit,86
5,Puma Deviate Nitro 2,86
6,Nike Pegasus Turbo Next Nature,65
7,New Balance Fresh Foam Roav V2,79
8,Adidas Adizero Boston 11,81
9,On Cloudgo,85
10,Saucony Endorphin Shift 3,89
11,Nobull Runner+,89
12,Under Armour Charged Rogue 3,82
13,Vivobarefoot ESC Tempest,77
14,New Balance Fresh Foam More v4,85
15,Arc'teryx Norvan SL 2,81
16,Asics Magic Speed 2,84
17,Scarpa Golden Gate ATR,79
18,Nike Air Winflo 9,84
19,New Balance Fuelcell Supercomp Trainer,86
20,New Balance FuelCell SuperComp Pacer,81
21,New Balance FuelCell Rebel v3,82
22,Adidas Climacool Boost,81
23,Salomon Predict Soc 2,87
24,Topo Athletic Pursuit,81
25,Merrell MTL Long Sky 2,79
26,La Sportiva Ultra Raptor II,78
27,Altra Outroad,83
28,APL TechLoom Wave,82
29,Brooks Transmit 3,83
30,New Balance 510 v5,79
31,Under Armour Charged Breeze,83
32,Nike ZoomX Zegama Trail,80
33,Altra Mont Blanc BOA,84
34,New Balance Fresh Foam X More Trail v2,84
35,Topo Athletic Specter,85
36,Asics Gel Cumulus 23 GTX,82
37,Adidas Terrex Agravic Flow 2,82
38,Scarpa Spin Infinity,82
39,Scarpa Ribelle Run,85
40,Nike Air Zoom Alphafly Next% 2,83
41,Salomon Pulsar Trail Pro,77
42,Hoka Bondi 8,87
43,Adidas Supernova 2,84
44,Salomon Spectur,88
45,Brooks Anthem 5,83
46,Altra Olympus 5,79
47,Brooks Divide 3,85
48,Puma Run XX Nitro,79
49,Asics Novablast 3,93
50,Brooks Levitate Stealthfit 5,85
51,Adidas Adizero Adios Pro 3,90
52,Asics Gel Kayano 29,87
53,Asics EvoRide 3,85
54,Salomon Madcross GTX,82
55,Scarpa Spin Ultra,87
56,Hoka Kawana,84
57,Nike React Miler 3,69
58,Mizuno Wave Horizon 6,86
59,Nike Renew Ride 3,75
60,Adidas Terrex Two Flow,89
61,Mizuno Wave Inspire 18,90
62,Asics Noosa Tri 14,90
63,Altra Vanish Tempo,88
64,New Balance Fresh Foam Hierro v7,86
65,Saucony Endorphin Edge,88
66,Adidas Adizero Adios 7,81
67,Nike Zoom Fly 5,86
68,Hoka Mach 5,90
