Unnamed: 0,name,link,weight,category,drop,price
0,Brooks Glycerin 19,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Glycerin-19-p56714/?pstart=1'],255,Neutral Cushion - High,10,149.99
1,Hoka Rincon 3,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Hoka-Rincon-3-p59827/?pstart=1'],204,Neutral Cushion - Light,5,149.99
2,Hoka Clifton Edge,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Hoka-Clifton-Edge-p58311/?pstart=1'],204,Neutral Cushion - High,5,169.99
3,Saucony Ride 14,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Ride-14-p59673/?pstart=1'],238,Neutral Cushion - Medium,8,119.99
4,Brooks Ghost 14,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Ghost-14-p57272/?pstart=1'],255,Neutral Cushion - Medium,12,125
5,Hoka Bondi 8,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Hoka-Bondi-8-p59765/?pstart=1'],252,Neutral Cushion - High,4,199.99
6,Hoka Clifton 8,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Hoka-Clifton-8-p57083/?pstart=1'],252,Neutral Cushion - High,4,179.99
7,Saucony Triumph 20,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Triumph-20-p60165/?pstart=1'],244,Neutral Cushion - High,10,209.99
8,Brooks Glycerin 20,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Glycerin-20-p59860/?pstart=1'],258,Neutral Cushion - High,10,199.99
9,NB Fresh Foam X 880v12,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-Fresh-Foam-X-880v12-p58917/?pstart=1'],298,Neutral Cushion - Medium,10,179.99
10,Altra Escalante 3,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Altra-Escalante-3-p59628/?pstart=1'],235,Midfoot Running,0,189.99
11,Saucony Fastwitch 9,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Fastwitch-9-p60531/?pstart=1'],167,zzz Wmns Road Racing,4,80
12,Altra Rivera 2,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Altra-Rivera-2-p60528/?pstart=1'],196,Midfoot Running,0,174.99
13,NB FuelCell Rebel v2,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-FuelCell-Rebel-v2-p60117/?pstart=1'],167,Neutral Cushion - Light,6,149.99
14,Altra Torin 5,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Altra-Torin-5-p57199/?pstart=1'],207,Neutral Cushion - Medium,0,139.99
15,Asics Gel Cumulus 24,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Asics-Gel-Cumulus-24-p58219/?pstart=1'],249,Neutral Cushion - Medium,8,169.99
16,NB Fresh Foam X 1080 v12,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-Fresh-Foam-X-1080-v12-p58914/?pstart=1'],235,Neutral Cushion - High,8,199.99
17,Asics Gel Nimbus 24,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Asics-Gel-Nimbus-24-p58239/?pstart=1'],247,Neutral Cushion - High,13,209.99
18,Asics Gel Nimbus Lite 3,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Asics-Gel-Nimbus-Lite-3-p59389/?pstart=1'],224,Neutral Cushion - Medium,13,160
19,Saucony Echelon 8,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Echelon-8-p57296/?pstart=1'],306,Neutral Cushion - Medium,8,159.99
20,Mizuno Wave Rider 26,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Mizuno-Wave-Rider-26-p60111/?pstart=1'],235,Neutral Cushion - Medium,12,189.99
21,Hoka Rocket X,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Hoka-Rocket-X-p58600/?pstart=1'],210,Neutral Cushion - High,5,179.99
22,Saucony Triumph 19,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Triumph-19-p58494/?pstart=1'],258,Neutral Cushion - High,8,159.99
23,Altra Torin 6,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Altra-Torin-6-p59627/?pstart=1'],235,Neutral Cushion - Medium,0,199.99
24,Brooks Launch GTS 9,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Brooks-Launch-GTS-9-p58363/?pstart=49'],212,Stability - Light,10,125.99
25,Saucony Ride 15,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Saucony-Ride-15-p58481/?pstart=49'],221,Neutral Cushion - Medium,8,179.99
26,NB W1080K v10,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/NB-W1080K-v10-p54220/?pstart=49'],238,Neutral Cushion - High,8,119.99
27,Mizuno Wave Rider 25,['https://www.runningfree.com/products/Shoes-27/Womens-727/Neutral-Cushion-35/Mizuno-Wave-Rider-25-p57205/?pstart=49'],235,Neutral Cushion - Medium,12,139.99
