name,link,weight,category,drop,price
Brooks Adrenaline GTS 22,['https://www.runningfree.com/products/Shoes-27/Womens-727/Stability-37/Brooks-Adrenaline-GTS-22-p58289/?pstart=1'],258.0,Stability - High,12,179.99
Hoka Arahi 6,['https://www.runningfree.com/products/Shoes-27/Womens-727/Stability-37/Hoka-Arahi-6-p58500/?pstart=1'],215.0,Stability - Light,5,179.99
Asics Gel Kayano 29,['https://www.runningfree.com/products/Shoes-27/Womens-727/Stability-37/Asics-Gel-Kayano-29-p59391/?pstart=1'],269.0,Stability - High,10,219.99
Asics Gel Kayano 28,['https://www.runningfree.com/products/Shoes-27/Womens-727/Stability-37/Asics-Gel-Kayano-28-p56937/?pstart=1'],258.0,Stability - High,13,149.99
Altra The Provision 6,['https://www.runningfree.com/products/Shoes-27/Womens-727/Stability-37/Altra-The-Provision-6-p58655/?pstart=1'],286.0,Midfoot Running,0,169.99
NB Fresh Foam X W860v12,['https://www.runningfree.com/products/Shoes-27/Womens-727/Stability-37/NB-Fresh-Foam-X-W860v12-p58162/?pstart=1'],255.0,Stability - Medium,10,179.99
Brooks Glycerin GTS 20,['https://www.runningfree.com/products/Shoes-27/Womens-727/Stability-37/Brooks-Glycerin-GTS-20-p58331/?pstart=1'],266.0,Stability - High,10,199.99
Saucony Omni 20,['https://www.runningfree.com/products/Shoes-27/Womens-727/Stability-37/Saucony-Omni-20-p57350/?pstart=1'],292.0,Stability - Medium,8,143.99
Saucony Guide 15,['https://www.runningfree.com/products/Shoes-27/Womens-727/Stability-37/Saucony-Guide-15-p58384/?pstart=1'],232.0,Stability - Light,8,179.99
NB Fresh Foam X 860v13,['https://www.runningfree.com/products/Shoes-27/Womens-727/Stability-37/NB-Fresh-Foam-X-860v13-p60432/?pstart=1'],244.0,Stability - Medium,10,179.99
Mizuno Wave Inspire 18,['https://www.runningfree.com/products/Shoes-27/Womens-727/Stability-37/Mizuno-Wave-Inspire-18-p58547/?pstart=1'],258.0,Stability - Medium,12,179.99
